Comment;Evaluation
Enquanto o STF rir da nossa cara, os baderneiros vão pra ruas;0
"QUE PAÍS É ESSE ONDE OS LADRÕES TEM FORO PRIVILEGIADOS
. ";0
LuIa tá livre, BABAKAS ! Agora só falta prender este moro e tambem esta familia de bandidos milicianos. Ai a justiça será feita;0
brasil onde o crime compensa! País de bosta;0
E com ele vão mais 5.000 pra rua. Inclusive milicianos. E tem tonto que comemora.;0
Resumindo a justiça brasileira, roube bastante durante 13 anos pra quando (se um dia ocorrer) você for preso ter dinheiro suficiente pra pagar esses infinitos recursos assim ainda resta muito dinheiro pra curtir a vida ... é triste se fosse um cidadão comum tava preso fazia era tempo !!!;0
Graças ao comportamento desprezível do ex juiz de Curitiba em relação à lei, o País hoje está em tal agitação.  O STF, apenas confirmou a Constituição!;0
"A turma do Pão com mortadela, já estão em fila na frente da prisão. 
 ";0
Mais um bandido solto, esse matou muita gente com a caneta na mão e ainda tem gente que defende, Brasil país de gente idiota.;0
"Um Monte de desocupados como a Debora falou , não trabalham vivem de migalhas que o PT dá pão com mortadela até a Bolsa de Valores caiu , se fosse uma boa noticia a Bolsa subiria vê que credibilidade este senhor presidiaria tem nenhum no Brasil e fora para investidores
";0
Não vivemos em um país sério. Daqui pra frente nosso país deve ser escrito com letra minuscula, brasil é o nome do lugar onde vivemos. VERGONHA, ESTE É MEU SENTIMENTO.;0
STF, VOCÊS SÃO CONTRA O POVO DO BEM. VOCÊS SÃO UMA VERGONHA. PROTEGEM QUEM COLOCOU VOCÊS NO CARGO. ISSO NÃO É DEMOCRACIA. ;0
STF a serviço dos corru-PT-os!;0
Ainda dá tempo de devolver o Brasil pra Portugal?;0
O juizeco Moro deve está se borrando de vergonha de ter k-gado no pall do bozo e agora o capitão Lulão vai por ele no xilindró.;0
Calhordas. Cuidado na esquina.;0
O CRIME COMPENSA......;0
Precisamos de um jeep dois soldados e um sargento...;0
Parabens aos envolvidos!;0
AI 5 já!!!!;0
Apenas uma análise fria, despida de idealismo, o STF, goste você ou não, acabou de reeleger o atual presidente em 2022. Quem viver, verá.;0
Brasil em Luto! Mais uma vez está provado que o CRIME neste país ainda compensa.;0
Tem que fazer como o Augusto Nunes ontem. Enfiar a mão na cara desses F...D...P;0
MALDITO STF, PARTE MAIOR DELE....;0
A EMOÇÃO QUE NÓS DE BEM ESTAMOS SENTINDO É DESCONHECIDO POR QUALQUER GADO! TU VENS, TU VENS... ;0
Agora abriu a porteira. Eita paiseco.;0
INOCENTE LIVRE , Prisão apara BOZONARO/MORO e PAREDÓN PARA PAULO GUEDES!;0
Na verdade o Mula nunca esteve preso...ele estava sim em uma hospedagem 5 estrelas, comendo e bebendo (principalmente) do bom e do melhor, com direito a privilégios que os seus eleitores e defensores jamais terão. E tudo isso pago por nós. O lado bom é que os vizinhos da PF de Curitiba ficarão livre do bando de idiotas desocupados que passavam os dias vagando pelas ruas, sujando tudo e dando bom dia, boa tarde e boa noite ao bandido de nove dedos. Agora essa massa de walkingdeads irá para São Bernardo (ou deveria ir).;0
Nunca imaginei ter que dizer isso, mais tenho vergonha de ser brasileiro !! Cadeia foi feita apenas para pobre mesmo.;0
Cansei de trabalhar... Tirei minha posse de arma, hj mesmo vou começar roubar e matar...;0
Solta o Beira Mar e o Marcola Também uai... Qual é a diferença? Esses dois também aguarda  recursos nas últimas Instâncias;0
Bando de safados!!!;0
TEM ROUBAR TUDO O QUE PUDER PORQUE QUEM TRABALHA NO BRASIL É UM IDIOTA.;0
"kkkk agora só falta o Bozo cair.... aí fecha o buteco. Eu acho é pouco....
";0
Cabe ressaltar, que não se trata de in dubio pro reo, e sim o cumprimento da Lei, não é carta de alforria, mas o decurso do processo legal. ;0
"Pergunta que não quer calar: se a turma raivosa embarcar na aventura do que eles chamam de ""golpe constitucional"", será que a China apoia? Lembrando que a China é o maior parceiro comercial do Brasil, e não a Trump-Lândia !!!";0
Ainda vai ter gente burr4 o suficiente para votar nesse animal que estava preso nas próximas eleições... Não tem como ter democracia com tanta gente burra assim.;0
Brasilzão, esperar mais o que.;0
A ESQUERDA POR ONDE PASSA DEIXA DESEMPREGO, ARROCHO SALARIAL, COMUNISMO, DESORDEM SOCIAL, IMORALIDADE FORA DO CONTROLE GENERALIZADA, CORRUPÇÃO GENERALIZADA, LEGALIZAÇÃO DO ABORTO, DA MACONHA, DO CASAMENTO DE MULHER COM MULHER,... TUDO QUE É L.I.X.O T.Ó.X.I.C.O PARA TODAS AS PESSOAS. O PT DO LULADRÃO É UM PARTIDO COMUNISTA DE CRIMINOSOS DE CORRUPTOS. ACORDEM!;0
Brasil um país de Tolos, vergonhaaa;0
APENA OS GATOS PINGADOS DOS FILIADOS AO PT QUE EXALTA  ESSE SER, QUE SAIA PARA VER DE PERTO QUE O POVO BRASILEIRO NÃO E BURRO, NINGUÉM VAI DA CONFIANÇA  PARA ESSE EX PRESIDIÁRIO.;0
Será que não dá para importar alguns chilenos, bolivianos para ensinar o POVINHO daqui como se faz ????;0
Obrigado Irmã Dulce.;0
"agora vai querer ser candidato a presidente de novo pra se vingar ,e o povão burro vai por ele la de novo em troca de bolsa familia.
vamos virar uma venezuela.";0
Cada dia nós brasileiros somos surpreendidos.Mandar soltar um presidente condenado por corrupção.Por isso não somos respeitados no exterior.;0
Esta se fazendo justiça, como podem prender uma pessoa que salvou tantas pessoas da fome, quem conheceu a fome no nordeste nos tempos do FHC e depois sabe o que eu estou dizendo, se ele fez algo errado que seja julgado de forma honesta mas não se desconsiderem o bem que ele fez aos brasileiros, pela primeira vez os brasileiros tiveram orgulho de serem brasileiros e agora com este brucutu só passamos vergonho para com todo o mundo.;1
BOLSON4RO ASSASSINO PRESO AGORA - PARA O BRASIL VOLTAR A TER CREDIBILIDADE - AQUI FASCISTAS NÃO PASSARÃO;0
Já estou juntando tomate ,ovo e pedra.;0
O certo era ir na casa de cada bozominion e meter bala na cabeça deles!;0
KD OS GENERAIS O EXÉRCITO PRA ACABAR COM ESSA PALHAÇADA.;0
Hoje é um daqueles dias típicos que vc vê o quanto somos uma pátria traída por aqueles que comandam nossa nação. muita vergonha em saber que 5.000,00 criminosos poderão estar nas ruas para, de uma forma ou de outra, alijar mais ainda as famílias de bem. Acorda povo brasileiro. vamos para as ruas;0
não conseguiram provar sua inocência  e tiveram então de  mudarem a  lei ;0
O STF FLERTA COM AS IDEOLOGIAS ESQUERDISTAS PARTIDÁRIAS CRIMINOSAS COMUNISTAS COMO DO PT, PSOL, PSB, PCDOB, PDT, REDE... O PARTIDO COMUNISTA CRIMINOSO DO LULADRÃO APARELHOU O STF PARA SEU PLANO DE PODER;0
"Devemos ser justos e abrir as celas para que todos saiam, aqueles que não podem pagar advogados que a defensoria faça esta solicitação para que haja justiça.
Vamos ser sinceros tem muito mais bandido solto na rua do os que estão no sistema prisional
";0
Tapa na cara com muita força na sociedade brasileira. ;0
O NOSSO SANGUE SEMPRE SERÁ VERMELHO! KKKKK E QUEM NÃO GOSTOU É SÓ DERRAMAR SEU PRÓPRIO SANGUE KKKK;0
LUTO......Carluxo acaba de se enforcar numa lin.guíça gigante.....pêsames a família Bozonaro.;0
Complicado, mas pelo menos não estará mais comendo as minhas custas, vai ter que bancar a própria alfafa.;0
Um Cabo e um Soldado.... ;0
ué... pensei que ele fosse sair só quando fosse provado sua inocência.. nem palavra ele tem??? eu em...;0
O principal bandido do país está solto novamente. Parabéns Brasil! ;0
O crime tá liberado.. Falta soltar o Cabral, o Fernandinho Beira mar, Nego Maluco e o eduardo Cunha... ;0
"Brasil país sem Lei
Única lei infalível é a bala";0
Olha  que maravilha  , todos que estão presos e sendo julgados  por corrupção na lava-játo  iram usar  do mesmo argumento  que  foi usado para liberar  Luladrão  . É Brasil voltando a ser Brasil  novamente ;0
A LIBERTAÇÃO DO PRESIDENTE DE TODOS OS BRASILEIROS É O PRIMEIRO PASSO PARA A LIBERTAÇÂO DO BRASIL ! ! !;1
É o Jair não pode fazer nada, pois seu filho(caso queiroz), está nas mãos  do STF . Então povo tonto, ficamos aqui falando asneira pra  ninguém escutar. ;0
Neste país o crime compensa....;0
Tem q;1
Twm ;1
Kkkkk.....Para terminar de desmoralizar, só falta o Pato Donald sofrer impeachment !!! Eita, temporal !!;0
Nojento. ;0
Exército minha vergonha e vc ... ;0
Não falta mais NADA neste país..... Começou o indulto de natal kkkk;0
Essa manobra foi para ele sair e não ser preso novamente em outras condenações. Continua bandido;0
"Liberdade cantou !! ""Liberdade, para dentro da cabeça....""";1
Vamos ver até quando dura essa empolgação.;0
Boatos que o Bozo já está planejando o golpe de Estado com os militares. Eu avisei.;0
... e agora! quem poderá nos salvar!!!;0
Agora ele volta com mais força e com estigma de MÁRTIR.;0
Nota de esclarecimento: C.o.m  pesar esclarecemos aos que ainda tinham fé, que o Brasil é assim mesmo desde o desc.obrimento: a c.o r rupção está no DNA do povo (salvo as honrosas exceções). Resumindo: Não tem jeito...nunca terá.;0
Parabéns, senhores ministros. O STF, que até há alguns anos atrás era considerado a última linha de defesa da vergonha na cara, perdeu a credibilidade. Daqui em diante, é justiça do cada um por si.;0
É lamentável a cabeça de algumas pessoas. Ir para porta da cadeia para ver sair um condenado por corrupção. Dilapidou o povo. Masoquistas....;0
Vivaaaa!!! Vem Presidente!!! Ainda dá tempo de salvar o Brasil. Enfim, justiça sendo feita. É L.u..L...A de novo nos braços do povo.;0
E VOCÊ TRO.U.XA PAGANDO SUAS CONTAS, SEUS IMPOSTOS E SENDO HONESTO KKKKKKKKKKKKKKKKKKKKK;0
Bom, agora tá mais fácil ele levar um tiro...;0
Ta na hora de colocar os caminhoneiros na greve de novo dessa ves com os caminhões dentro do planalto e senado ;0
Haja Mortadela hoje.... kkkkkkkk  ;0
Esta praga não é terceira instância???? Ou o stj não manda nada ? Em abril ele foi condenado pelo stj... virada de mesa ??  Luluminense ???;0
"LARÁP IO
";0
Foi os donos da marba que pagou esse advogado aí só pode ;0
Que beleza Brasil! Viva a impunidade!!!;0
Vergonhoso esse país. Sabe quando um rico vai ser preso? NUNCA.;0
VAGABU NDO;0
Que venha um golpe militar e humilhe esse SFT vergonho composto por vermes imundos. Ali só salva o Barroso, o resto que apodreçam no inferno.;0
O QUE A GANGUE DE ESQUERDA TERRORISTA ESTÁ FAZENDO NO CHILE É UMA VERDADEIRA BARBARIDADE TRANSFORMANDO JOVENS CHILENOS EM DELINQUENTES! O PT DO LULADRÃO COM O SEU FÓRUM TERRORISTA TEM QUE SER RESPONSABILIZADO POR SEUS CRIMES! ACORDEM!;0
Deus está em suas mãos o destino desta nação, não nos deixe só.........o povo brasileiro de bem, não merece tamanha crueldade por parte de pouco.........Deus salve o Brasil.;0
Sensação de impunidade.;0
DE AGORA EM DIANTE O CRIME VAI TRIPLICAR, O STF AUTORIZOU A ROUBALHEIRA GERAL. ;0
Eita, acabou a paz do povo... Ladrões na rua novamente.;0
O Brasil inteiro quer o barbudo mais carismático do país;1
O ex-presidente LULADRÃO DO PARTIDO COMUNISTA CRIMINOSOS DE CORRUPTOS CRIMINOSOS O PT é o verdadeiro símbolo do ilusionismo que convence milhões de trouxas a lhe apoiarem. O PT CRIOU A ORGANIZAÇÃO CRIMINOSA FÓRUM DE SÃO PAULO PARA COLOCAR JOVENS NA DELINQUÊNCIA E CAUSAR DESORDEM SOCIAL;0
Teste;1
...LULADRÃO DO PARTIDO CRIMINOSO COMUNISTA O PT é um dos criadores desta organização criminosa fórum de São Paulo, juntamente com o ex-ditador de Cuba, Fidel Castro, cujo objetivo seria implantar o comunismo em toda a América Latina... ACORDEM! ESSA É A PURA VERDADE;0
LULAUMARTINMANDELA ;0
Lamentável...;0
vergonha de ser brasileiro ;0
EVO MORALES É DA ESQUERDA É UM ESQUERDISTA. O ÚNICO PROPÓSITO DO FÓRUM DE SÃO PAULO É ESSE MESMO FAZER COM QUE OS SOCIALISTAS DE ESQUERDAS SE PERPETUEM NO PODER SEM QUERER SAIR DO PODER DE JEITO NENHUM. VEJA O CASO DO LULADRÃO DO PARTIDO COMUNISTA O PT ATÉ HOJE NÃO SE ACOSTUMOU FICAR SEM O PODER E FAZ DE TUDO PARA SABOTAR O GOVERNO DEMOCRÁTICO DO BRASIL;0
Infelizmente o STF tinha que defender a constituição. Não é dever do Supremo ir contra a lei e defender a vontade do povo pelas injustiças causadas por brechas que permitem corruptos com caros advogados ficarem soltos. Mudanças nas leis é dever dos políticos do Congresso que foram eleitos pelo povo para proteger seus direitos. O Toffoli (que pelo menos neste caso tem razão) já deixou claro o que o Congresso tem que fazer para alterar essa situação sobre prisão em segunda instância;0
"Calma bolsominios, vcs agora podem dormir tranquilos.  Ao despertar sentirão que seus cérebros voltaram a funcionar e a pensar. O Pesadelo do Bozo &amp; Família ira passar em breve.";0
Sempre digo e direi sempre, estamos comandado por bandidos disfarçados de MINISTRO DO SUPREMO FEDERAL;0
"Vergonha!!!!!!!
Com a complacência dessa midio podre!";0
Logo volta pro seu Santo lugar que é a cadeia;0
"TODOS OS LADRÕES DO MUNDO PODEM VIR PARA O BRASIL. AGORA LIBEROU GERAL. AQUI É O PARAÍSO PARA OS CRIMINOSOS PRINCIPALMENTE SE FOREM PODEROSOS. OS AMIGOS NO STF E A OAB GARANTEM A ALEGRIA DE TODOS. A TEMIDA LAVA A JATO AGORA SE TORNOU ""LAVA AD INTERNUM""";0
Já vi cachorros fazendo a festa quando o dono aparece, já os burros é a primeira vez......;0
Otima noticia!;1
Amei a ótima noticia!;1
Melhor amo o Lula amei seu governo;1
Liberdade cantou muito bom;1
Melhor dia possível amo;1
Tenho mais nojo dos militares e dos maçons que fazem a maior pose, mas no fundo são todos uns covardes e bund4 moles.;
Que VERGONHA NACIONAL...o STJ conseguiu...;
Com dezenas de advogados, foi mais fácil mudar a lei do que provar a inocência desseladrãovagabundo.;
Enquanto isso, o Bozo deve estar quietinho planejando o golpe de Estado com os militares. Ele não se pronunciou ainda. Eu já esperava por esse momento antes mesmo das eleições.;
O dia em que nossa justiça imunda provou pro povo de quem roubar pode continuar roubando ate quando o povo brasileiro vai continuar aceitando isso justiça corrupta imunda ;
O globinho, feliz, o chefe tá na rua de novo!!!!;
E o STF abriu a caixa de Pandora e espalhou os males pelo Brasil.;
"Hoje descobri uma nova faceta deste país 
Cometer qualquer tipo de crime se tornou
Constitucional!!! Palavras do STF";
Agora vai pegar fogo, prepare-se porque os protestos chilenos vao parecer cha de bebe perto do que esta por vir!! ;
VIVA O REI DOS CORRUPTOS....KKKK;
"A América Latina está em convulsão social, e tudo está acontecendo por ações terroristas previamente planejadas para causar o caos e a destruição de qualquer governo que seja contra os ideais FASCISTAS e TERRORISTAS do Foro de São Paulo.
Essas ações orquestradas tem o único objetivo de tomar o poder a força e os olhos deles já se voltam novamente para o Brasil.";
LulaCâncer e seus amebas parasitas não cansarão até matar o Brasil.;
Essas decisões teriam que ter um aval final do presidente da república.. pra que serve um presidente afinal? lamentável.;
"E que comece a guerra! O poderoso chefão foi solto. Varios bandidos Tbm! 
Eu vou pra guerra! Amanhã estarei nas ruas já! ";
Primeiramente Marielle Presente! Segundamente viva o pai dos pobres!!;
Plena Sexta-feira, 17h da tarde, e essa cambada de filhos da P - U - T - A na rua, eleitores do PêTê comedores de mortadela e V - A - G - A - B - U - N - D - OS!;
Lamentável ver bandido de colarinho branco solto nas ruas, uma vergonha.;
"Sempre disse para meus filhos quem é L.ula, sempre falei da luta ""inglória"" do P.T para dar dignidade ao povo brasileiro, também contei que eu e meu marido só podemos viajar com eles de avião como a classe média, por causa desse homem que foi injustiçado, mas que hoje teve sua honra lavada! Hoje abdicamos do trabalho, para comemorar com eles ao som de ""Anunciação - Alceu Valença"" ! O povo que teve seus direitos trabalhistase previdenciários perdidos, hoje  volta a ter voz!! Bem vindo Lu.la!!!! ";
"A vergonha de hoje é muito maior do 7 x 1.
Gol do crime organizado!";
Esse verme nao foi inocentado. Esta apenas fora da cadeia..;
Brasil País que só regride, não tem jeito isso aqui nunca vai ter progresso com essa impunidade. Lamentável!;
brasil piada mundial né ;
Só falta o Cabral, Pesão e a gang da Alerj.  No lugar de prender os outros que também cometeram o mesmo erro como Temer, Padilha, Jucá, Moreira, Barbalhos, Lobão, Eunício, Serra e Aécio eles liberam esses cidadãos.  Uma lástima.;
Como ele disse que so sairia da prisão se fosse inocentado, não sei porque ele saiu. Esse senhor é um condenado assim como José Dirceu e tantos outros. Não conseguiu provar sua inocência, apenas se diz perseguido.;
G1 tem medo de colocar meus comentários,!!!;
Pessoas querendo comunismo aqui e nos países desenvolvidos as pessoas fogem de comunismo, vamos ser essa bosta a vida toda , enquanto idolatram comunistas , eu não voto em ninguém mais , e tambrm não precisei de governo para me formar e trabalhar , esse país tá minado de vadio .;
Começou a Campanha Presidencial!!!!!!!!;
Nao voto no PT, mas esta CORRETA a decisão do STF. Basta se ler a Constituição. Quanto aos outros presos, continuarão presos se os processos já terminaram ou se representarem perigo.  A Constituição de 88 foi feita assim pois durante 21 anos militares e agentes do Estado matavam e prendiam quem eles queriam, agindo como MILICIANOS. E queria saber dos bozopatas: pq Bozo extinguiu o COAF? Só pq investigava Flavio Boçalnaro?;
Nunca subestime a im'bec'ili'd'de humana, olha só a galera festejando a soltura de criminosos. Brasil, país da impunidade.;
Não é um inocente que é solto, é um criminoso condenado e que responde a outros processos que é vergonhosamente liberado. ;
AI 5 neles!;
"VERGONHA!! Não tem outra definição para esse período SUJO da história desse país. Aqueles Seis  CRAPULAS do STF deveriam usar MÁSCARAS  não  TOGA!
Estou extremamente ENVERGONHADO e ENOJADO dessa JUSTIÇA EXDRUXULA.";
"Agora que o Brasi1 está tentando melhorar o S T F libera esse ""câncer"" para a ameaçar o Brasi1.";
Parabéns ao S/T/F pelo circo ...além desse senhor varios outros criminosos logo voltam as ruas e rindo da cara dos palhaços...rsrs;
Velho maldito desgraçado. ;
Bora agora colocar ORDEM nessa kizumba Bozonarista  da patria amada dos seus filhos milicianos;
